,utterance,classes,prompt,bigscience/T0pp
1039,google pay and top up i want it can i get it?,"['get ', 'google pay', 'get pay']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get google pay top up it i want it
1040,what can i use to verify my identify?,"['verify identify', 'verify identify']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identify.jpg (file extension):
1041,what do you need to verify my identity?,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity or proof of identity needed. b.
1042,i need to verify my identity but how do i do that?,"['do identity', 'do identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need id do identity.gov?
1043,how can i verify my indentity?,"['verify indentity', 'verify indentity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify indentity via pw
1044,what is needed to prove my identity?,"['prove identity', 'prove identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity. a passport. or id
1045,what do you need for my identity check?,"['identity check', 'need check']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need check identity check.png?<unk>
1046,how do you verify an identity?,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity..how do you verify an identity
1047,is there a specific type you need for identity verification?,"['identity verification', 'specific type', 'need verification']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",type need verification identity..? specific
1048,i got a message that i need to verify my identity; what do i do?,"['verify identity;', 'do identity;']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity; do identity.] i got a message that ive got to verify my identity
1049,are there any documents needed for the identity check?,"['identity check', 'needed check']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",identity check needed check identity checks needed?
1050,what are the steps i need to take to verify my identity?,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity?.com.au/step
1051,what do i need to verify my identity,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity by submitting id card
1052,i need to verify my identity,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity.gov.au? asian
1053,i need some help with identity verification,"['need help', 'identity verification', 'need verification']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need help identity verification need verification thanks.?
1054,what's the process for id verification?,"['d verification', ' verification']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verification procedure d verifiers i
1055,i would like to know how i can verify my identity,"['verify identity', 'verify identity']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",verify identity.com review. verifying credit
1056,what kind of documents do i need for the identity check?,"['identity check', 'need check']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need check identity check.. i need something to prove my identity
1057,let me know the steps for the identity checks,"['know steps', 'identity checks', 'know checks']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",know steps identity checks know checks.. no
